entity_id,name_key,description_key,image_file,wikipedia_title,grokipedia_url,britannica_url,linked_country_code
cl.procultura,entity.cl.procultura.name,entity.cl.procultura.description,,,,
cl.afp,entity.cl.afp.name,entity.cl.afp.description,,Chilean_pension_system,,,
cl.dieudonne_yonaiker,entity.cl.dieudonne_yonaiker.name,entity.cl.dieudonne_yonaiker.description,,,,
cl.byron_jennifer,entity.cl.byron_jennifer.name,entity.cl.byron_jennifer.description,,,,
cl.francisco_anita,entity.cl.francisco_anita.name,entity.cl.francisco_anita.description,,,,
cl.easter_island,entity.cl.easter_island.name,entity.cl.easter_island.description,,Easter_Island,https://grokipedia.com/page/Easter_Island,,
cl.tocornal,entity.cl.tocornal.name,entity.cl.tocornal.description,,Box_wine,,,
cl.teletrak,entity.cl.teletrak.name,entity.cl.teletrak.description,,Horse_racing,,,
cl.tusi,entity.cl.tusi.name,entity.cl.tusi.description,,Tusi_(drug),,,
cl.latam,entity.cl.latam.name,entity.cl.latam.description,,LATAM_Airlines_Group,,,
cl.miami,entity.cl.miami.name,entity.cl.miami.description,,Miami,,,US
